"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
124.,"16 Pack Pesticide Free Fly Paper Strips, Sticky Fly Catchers Set Fruit Trap Insect Sticky Trap for Indoors and Outdoors Use","B01LY7O55T","https://www.amazon.co.uk/dp/B01LY7O55T?psc=1","https://m.media-amazon.com/images/I/71+Nb1-UImL._SX342_.jpg","Plai",8.1,341,278,200,"2,459.42","1,877.26",123,"3,781","CN",2.98,1,3.8,"8,776",7,8,"UFelice","Garden","Large Envelope","FBA","18.60 x 2.70 x 10.80 cm",0.16,"N/A","Jan 5, 2017",,"No",110,"UFelice"
"124.1.","Plai Pesticide Free Fly Paper Strips Sticky Catchers Set Fruit Fly Trap Insect Sticky Trap for Indoors and Outdoors Use (24 Pack)","B0FB3LGJ48","https://www.amazon.co.uk/dp/B0FB3LGJ48?psc=1","https://m.media-amazon.com/images/I/81C31ihKNBL._SX342_.jpg","Plai",10.42,341,33,"N/A","2,459.42",286.81,129,"3,781","N/A",3.42,1,3.8,"8,776",7,5,"UFelice","Garden","Small Parcel","FBA","13.40 x 6.90 x 12.20 cm",0.23,"N/A","Aug 31, 2025",,"No",7,"UFelice"
"124.2.","Plai Pesticide Free Fly Paper Strips Sticky Catchers Set Fruit Fly Trap Insect Sticky Trap for Indoors and Outdoors Use (32 Pack)","B0FB3KZZ8X","https://www.amazon.co.uk/dp/B0FB3KZZ8X?psc=1","https://m.media-amazon.com/images/I/71DNH7LVbAL._SX342_.jpg","Plai",11.58,341,30,"N/A","2,459.42",293.69,129,"3,781","N/A",3.45,1,3.8,"8,776",6,5,"UFelice","Garden","Extra Large Envelope","FBA","23.00 x 4.70 x 15.00 cm",0.3,"N/A","Sep 4, 2025",,"No",6,"UFelice"
