"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
84.,"Fruit Fly Traps Trap Indoor Sticky Yellow For Home Use Protect Plants Plant Houseplant Fungus Gnat Killer Insect Catcher Bug Catchers Control Pests Whitefly Non Toxic Odourless Safe Waterproof (10)","B0D6C2KGNB","https://www.amazon.co.uk/dp/B0D6C2KGNB?psc=1","https://m.media-amazon.com/images/I/61fvILG++aL._AC_SY355_.jpg","Evanmore",3.93,106,66,"N/A",493.94,223.03,197,"12,363","GB",2,1,4.3,109,9,1,"Evanmore Ltd","Garden","Standard Envelope","FBA","15.20 x 1.30 x 10.10 cm",0.04,"N/A","Jun 21, 2024",,"No",21,"Evanmore Ltd"
150.,"20 Pack Fruit Fly Trap Indoor & Outdoor | Large 20 x 40cm Sticky Insect Pads & Glue Papers for Home Use, Kitchen, Garden - Fly Catcher & Dual-Sided Adhesive for Bugs, Gnats & Mosquitoes","B0FG771FKM","https://www.amazon.co.uk/dp/B0FG771FKM?psc=1","https://m.media-amazon.com/images/I/71oKoeM1vpL._AC_SY355_.jpg","Elegancely",9.26,14,3,"N/A",91.89,21.9,185,"43,370","GB",3.06,1,3.3,31,7,2,"Perkaar Ltd","Garden","Large Envelope","FBA","1.70 x 21.30 x 19.30 cm",0.55,"N/A","Oct 18, 2025",,"No",5,"Perkaar Ltd"
"150.1.","10 Pack Fruit Fly Trap Indoor & Outdoor | Large 20 x 40cm Sticky Insect Pads & Glue Papers for Home Use, Kitchen, Garden - Fly Catcher & Dual-Sided Adhesive for Bugs, Gnats & Mosquitoes","B0FFZZKJL2","https://www.amazon.co.uk/dp/B0FFZZKJL2?psc=1","https://m.media-amazon.com/images/I/71GnnCBu1KL._AC_SY355_.jpg","Elegancely",3.99,14,10,"N/A",91.89,61.53,185,"43,410","N/A",2.19,1,3.3,31,7,3,,"Garden","Standard Envelope","FBA","21.80 x 1.30 x 19.80 cm",0.25,"N/A","Oct 23, 2025",,"No",5,
"150.2.","30 Pack Fruit Fly Trap Indoor & Outdoor | Large 20 x 40cm Sticky Insect Pads & Glue Papers for Home Use, Kitchen, Garden - Fly Catcher & Dual-Sided Adhesive for Bugs, Gnats & Mosquitoes","B0FG7Q97XS","https://www.amazon.co.uk/dp/B0FG7Q97XS?psc=1","https://m.media-amazon.com/images/I/71U15zr547L._AC_SY355_.jpg","Elegancely",13.9,14,1,"N/A",91.89,7.9,185,"43,410","N/A",4.13,1,3.3,31,7,2,"Perkaar Ltd","Garden","Large Envelope","FBA","3.00 x 21.60 x 19.30 cm",0.8,"N/A","Dec 5, 2025",,"No",3,"Perkaar Ltd"
