"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
38.,"BBLIKE Fruit Fly Traps - 60 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects Non-Toxic, Waterproof (Black)","B0BX616P64","https://www.amazon.co.uk/dp/B0BX616P64?psc=1","https://m.media-amazon.com/images/I/71bC9-eYbgL._AC_SY355_.jpg","BBLIKE",6.94,658,415,400,"3,737.66","2,479.77",196,"1,346","CN",2.63,1,4.5,702,7,11,"ZQIAN UK","Garden","Standard Envelope","FBA","13.50 x 2.30 x 13.50 cm",0.19,"N/A","Apr 15, 2023",,"No",35,"ZQIAN UK"
"38.1.","BBLIKE Fruit Fly Traps - 33 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects Non-Toxic, Waterproof (Black)","B0F1N5ZYRT","https://www.amazon.co.uk/dp/B0F1N5ZYRT?psc=1","https://m.media-amazon.com/images/I/71JtPC6Aq0L._AC_SY355_.jpg","BBLIKE",5.79,658,32,"N/A","3,737.66",156.6,196,"1,346","N/A",2.48,1,5,5,8,0,"ZQIAN UK","Garden","Standard Envelope","FBA","1.50 x 16.00 x 14.00 cm",0.11,"N/A","Jul 1, 2025",,"No",8,"ZQIAN UK"
"38.2.","BBLIKE Fruit Fly Traps - 60 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects Non-Toxic, Waterproof (Green)","B0DSCSR4LD","https://www.amazon.co.uk/dp/B0DSCSR4LD?psc=1","https://m.media-amazon.com/images/I/71rd2gVeWKL._AC_SY355_.jpg","BBLIKE",6.94,658,136,50,"3,737.66",749.04,196,"1,346","N/A",2.21,1,4.2,57,6,6,"ZQIAN UK","Garden","Standard Envelope","FBA","15.00 x 2.20 x 14.10 cm",0.2,"N/A","Jan 7, 2025",,"No",14,"ZQIAN UK"
"38.3.","BBLIKE Fruit Fly Traps - 33 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects Non-Toxic, Waterproof (Yellow)","B0F1N638JJ","https://www.amazon.co.uk/dp/B0F1N638JJ?psc=1","https://m.media-amazon.com/images/I/71wt5nTW99L._AC_SY355_.jpg","BBLIKE",5.79,658,44,"N/A","3,737.66",185.15,197,"1,346","N/A",2.12,1,4.3,7,8,0,"ZQIAN UK","Garden","Standard Envelope","FBA","1.50 x 16.00 x 14.00 cm",0.11,"N/A","Jun 26, 2025",,"No",9,"ZQIAN UK"
"38.4.","BBLIKE Fruit Fly Traps - 48 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects, Waterproof (Yellow-Black)","B0F1N8TRM5","https://www.amazon.co.uk/dp/B0F1N8TRM5?psc=1","https://m.media-amazon.com/images/I/71dlm14d9KL._AC_SY355_.jpg","BBLIKE",6.94,658,32,"N/A","3,737.66",160.18,193,"1,346","N/A",2.21,1,4.5,5,8,0,"ZQIAN UK","Garden","Standard Envelope","FBA","2.00 x 15.00 x 14.00 cm",0.17,"N/A","Jul 10, 2025",,"No",8,"ZQIAN UK"
