"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
133.,"Hybrid Spectrum, Dusk-to-Dawn Fly Zapper Electric Fly Catcher Fruit Flies Trap Outdoor & Indoor for Home Use Mosquito Killer Bug Zapper Insect Lamp with Light Sensor - UK Plug","B0C3TCCMDT","https://www.amazon.co.uk/dp/B0C3TCCMDT?psc=1","https://m.media-amazon.com/images/I/71iZkdnoBJL._AC_SY355_.jpg","GeckoMan",40.57,206,71,50,"8,121.74","2,824.44",175,"2,544","CN",8.51,1,4,"2,022",7,32,"Dan - UK","Garden","Standard Parcel","FBA","24.21 x 16.21 x 16.21 cm",0.87,"N/A","Jul 30, 2023",,"No",32,"Dan - UK"
"133.1.","2-Pack GeckoMan Hybrid Spectrum, Waterproof Switch, 15W Fly Zapper Electric Fly Catcher Bug Zapper Mosquito Killer Flies Killer Trap for Home Indoor UK Plug","B0C3TGP9WZ","https://www.amazon.co.uk/dp/B0C3TGP9WZ?psc=1","https://m.media-amazon.com/images/I/71fUksNFfeL._AC_SY355_.jpg","GeckoMan",57.96,206,20,"N/A","8,121.74","1,153.97",156,"2,543","N/A",11.59,1,4,"2,022",7,32,"Dan - UK","Garden","Standard Parcel","FBA","31.90 x 16.21 x 25.30 cm",1.6,"N/A","Mar 21, 2024",,"No",24,"Dan - UK"
"133.2.","2-Pack Hybrid Spectrum, Dusk-to-Dawn Fly Zapper Electric Fly Catcher Fruit Flies Trap Outdoor & Indoor for Home Use Mosquito Killer Bug Zapper Insect Lamp with Light Sensor - UK Plug","B0C3THF9BX","https://www.amazon.co.uk/dp/B0C3THF9BX?psc=1","https://m.media-amazon.com/images/I/71iZkdnoBJL._AC_SY355_.jpg","GeckoMan",68.97,206,7,"N/A","8,121.74",480.24,182,"2,543","N/A",13.01,1,4,"2,022",6,32,"Dan - UK","Garden","Standard Parcel","FBA","31.80 x 16.41 x 25.10 cm",1.67,"N/A","Mar 21, 2024",,"No",24,"Dan - UK"
"133.3.","GeckoMan Hybrid Spectrum, Waterproof Switch, 15W Fly Zapper Electric Fly Catcher Bug Zapper Mosquito Killer Flies Killer Trap for Home Indoor UK Plug","B0BVG29Y71","https://www.amazon.co.uk/dp/B0BVG29Y71?psc=1","https://m.media-amazon.com/images/I/71fUksNFfeL._AC_SY355_.jpg","GeckoMan",34.77,206,108,50,"8,121.74","3,662.23",149,"2,544","N/A",7.99,1,4,"2,022",7,32,"Dan - UK","Garden","Standard Parcel","FBA","31.00 x 19.60 x 23.50 cm",0.9,"N/A","May 26, 2023",,"No",34,"Dan - UK"
