"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
44.,"Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Fly Catcher, Gnat, Mosquito, & Flying Insect Catchers for Inside Home - Disposable Sticky Fly Trap for Indoor House Pest Control","B087CGT6ST","https://www.amazon.co.uk/dp/B087CGT6ST?psc=1","https://m.media-amazon.com/images/I/7104ZyW8Z9L._AC_SY355_.jpg","Trappify",26.65,192,41,"N/A","3,374.86",947.98,194,"5,847","US",6.35,1,3.9,"5,409",9,29,"Trappify","Garden","Extra Large Envelope","FBA","26.90 x 5.59 x 20.80 cm",0.22,"N/A","Aug 25, 2020",,"No",67,"Trappify"
"44.1.","Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Fly Catcher, Gnat, Mosquito, & Flying Insect Catchers for Inside Home - Disposable Sticky Fly Trap for Indoor House Pest Control","B08DMY3WWX","https://www.amazon.co.uk/dp/B08DMY3WWX?psc=1","https://m.media-amazon.com/images/I/71DG14XKAtL._AC_SY355_.jpg","Trappify",16.22,192,139,100,"3,374.86","1,946.47",194,"5,844","N/A",5.14,1,3.9,"5,409",9,29,"Trappify","Garden","Extra Large Envelope","FBA","27.31 x 5.41 x 10.49 cm",0.14,"N/A","Feb 20, 2021",,"No",61,"Trappify"
"44.2.","Trappify Hanging Fly Traps Outdoor: Fruit Fly Traps for Indoors | Fly Catcher, Gnat, Mosquito, & Flying Insect Catchers for Inside Home - Disposable Sticky Fly Trap for Indoor House Pest Control","B087CH7JK8","https://www.amazon.co.uk/dp/B087CH7JK8?psc=1","https://m.media-amazon.com/images/I/71iPJolo0lL._AC_SY355_.jpg","Trappify",46.36,192,12,"N/A","3,374.86",478.19,194,"5,847","N/A",10.73,1,3.9,"5,409",8,29,"Trappify","Garden","Standard Parcel","FBA","40.70 x 5.40 x 27.20 cm",0.45,"N/A","Aug 12, 2020",,"No",67,"Trappify"
